C1= C2= C3= C4= 
[1173, 356][1228, 313][1302, 487][1368, 435]
[955.157, 331.107][984.656, 293.369][1102.79, 459.306][1130.09, 430.085]
[956.168, 332.164][986.544, 293.299][1102.3, 465.597][1128.49, 433.721]
[957.133, 332.485][988.158, 293.087][1103.21, 471.287][1128.17, 437.286]
[958.556, 333.174][990.028, 293.719][1103.33, 475.063][1128.57, 441.563]
[959.625, 335.111][991.812, 295.875][1105.87, 481.765][1129.48, 446.167]
[959.882, 337.185][992.285, 298.474][1108.24, 487.532][1129.91, 450.913]
[960.111, 339.608][992.955, 300.367][1110.05, 492.304][1129.92, 454.62]
[960.3, 342.353][993.133, 303.366][1110.76, 497.381][1129.61, 458.585]
[959.807, 344.948][992.596, 304.225][1110.92, 500.6][1129.7, 460.686]
[959.483, 347.358][991.551, 306.379][1108.73, 500.876][1128.23, 462.471]
[957.421, 348.261][989.872, 306.784][1106.53, 502.062][1126.23, 463.543]
[955.139, 348.842][988.225, 307.246][1104.48, 503.617][1124.31, 464.033]
[952.823, 349.025][986.363, 308.957][1102.29, 503.734][1121.33, 464.332]
[951.091, 350.31][983.393, 308.609][1098.75, 503.002][1118.15, 463.772]
[948.537, 349.635][980.501, 308.582][1095.73, 502.929][1114.8, 462.905]
[946.948, 349.112][978.347, 307.985][1089.86, 498.729][1111.49, 460.944]
[945.78, 349.614][976.468, 307.253][1085.85, 495.645][1108.47, 458.622]
[943.488, 348.028][973.304, 305.263][1084.25, 494.253][1104.64, 456.007]
[941.738, 346.689][970.551, 303.31][1081.86, 493.079][1102.01, 453.546]
[941.2, 345.239][969.892, 302.059][1086.25, 477.295][1111.91, 442.768]
[943.427, 344.087][971.096, 298.554][1082.49, 474.013][1108.9, 439.869]
[954.438, 326.724][980.203, 292.377][1089.5, 459.736][1119.71, 430.076]
[953.619, 326.204][980.38, 290.261][1089.64, 461.543][1116.38, 429.51]
[960.138, 315.018][986.451, 287.985][1092.68, 451.491][1123.34, 423.017]
[954.965, 316.105][982.44, 287.046][1088.38, 454.685][1116.05, 423.264]
[950.201, 316.683][978.627, 284.626][1081.95, 454.514][1108.76, 422.244]
[946.498, 317.306][975.364, 282.854][1077.35, 455.838][1103.14, 421.634]
[943.699, 317.962][970.09, 283.819][1076.14, 457.067][1098.94, 420.737]
[942.353, 320.219][969.681, 284.124][1073.66, 458.564][1096.08, 421.284]
[940.227, 320.78][968.863, 284.727][1073.13, 460.075][1093.2, 421.513]
